id,date,time,city,state_region,country,latitude,longitude,shape,duration,witnesses,description
1,2015-01-10,21:45,Cardiff,Wales,UK,51.358,-3.2534,Cigar,30 minutes,1,Witness described a metallic cigar that emitted no sound and no exhaust.
2,2015-02-13,02:00,Area 51,NV,USA,37.1711,-115.7122,Fireball,10 minutes,4,A fireball was caught on a home security camera hovering above the yard.
3,2015-02-18,11:30,Loch Ness,Scotland,UK,57.4038,-4.2906,Disk,30 minutes,7,Object described as a disk descended rapidly then stopped mid-air.
4,2015-02-20,05:15,Santa Fe,NM,USA,35.745,-106.0791,Diamond,over an hour,11,Local pilot reported a diamond matching speed with aircraft before disappearing.
5,2015-03-06,21:30,Manchester,England,UK,53.4163,-2.2611,Unknown,1 minute,3,Local pilot reported a unknown matching speed with aircraft before disappearing.
6,2015-03-21,03:00,Berlin,Berlin,Germany,52.6639,13.3035,Rectangle,2 minutes,9,Police dispatch received several calls about a glowing rectangle near the highway.
7,2015-04-23,17:45,Loch Ness,Scotland,UK,57.3824,-4.538,Cylinder,1 minute,4,A cylinder with pulsating lights tracked alongside our car for several minutes.
8,2015-05-06,23:15,London,England,UK,51.6183,-0.0155,Rectangle,30 minutes,11,"Group of 6 witnesses observed a rectangle performing sharp, physics-defying turns."
9,2015-05-15,20:15,Edinburgh,Scotland,UK,55.995,-3.1515,Orb,2 minutes,5,"Group of 8 witnesses observed a orb performing sharp, physics-defying turns."
10,2015-06-20,10:15,Melbourne,VIC,Australia,-37.8348,144.9344,Teardrop,over an hour,8,Local pilot reported a teardrop matching speed with aircraft before disappearing.
11,2015-06-24,01:30,Marfa,TX,USA,30.4442,-103.9254,Orb,5 minutes,3,"Bright orb appeared over the harbor, hovered, then vanished instantly."
12,2015-06-29,21:45,Sedona,AZ,USA,34.8647,-111.8398,Oval,10 minutes,1,Object described as a oval descended rapidly then stopped mid-air.
13,2015-08-09,12:00,Paris,IDF,France,48.9103,2.3235,Sphere,1 minute,11,A sphere was caught on a home security camera hovering above the yard.
14,2015-08-26,01:30,Phoenix,AZ,USA,33.4286,-112.1945,Cigar,30 seconds,5,A cigar was caught on a home security camera hovering above the yard.
15,2015-09-15,10:00,Sydney,NSW,Australia,-33.9498,151.1254,Orb,3 minutes,4,Silent orb hovering low before shooting straight up at incredible speed.
16,2015-11-17,07:45,Anchorage,AK,USA,61.3378,-149.9473,Orb,45 seconds,9,Police dispatch received several calls about a glowing orb near the highway.
17,2016-01-08,01:30,Nashville,TN,USA,36.0809,-86.8778,Disk,2 minutes,11,Police dispatch received several calls about a glowing disk near the highway.
18,2016-01-11,21:15,Santa Fe,NM,USA,35.7256,-105.8222,Oval,10 minutes,2,Object described as a oval descended rapidly then stopped mid-air.
19,2016-02-12,21:00,Chicago,IL,USA,41.8391,-87.5633,Orb,10 minutes,8,Silent orb hovering low before shooting straight up at incredible speed.
20,2016-03-02,11:15,Miami,FL,USA,25.8373,-80.0922,Diamond,1 minute,11,"Group of 5 witnesses observed a diamond performing sharp, physics-defying turns."
21,2016-03-04,20:30,Vancouver,BC,Canada,49.3156,-123.1615,Chevron,1 minute,6,Witness described a metallic chevron that emitted no sound and no exhaust.
22,2016-03-05,04:45,Manchester,England,UK,53.5678,-2.3212,Cross,3 minutes,2,Silent cross hovering low before shooting straight up at incredible speed.
23,2016-03-15,04:15,Miami,FL,USA,25.894,-80.1985,Orb,over an hour,5,Witness described a metallic orb that emitted no sound and no exhaust.
24,2016-03-24,00:15,Paris,IDF,France,48.9101,2.3482,Chevron,10 minutes,4,Silent chevron hovering low before shooting straight up at incredible speed.
